순위,이름,포지션,나이,국가,팀,몸값
1,Erling Haaland,Centre-Forward,23,Norway,anchester City,180
2,Kylian bapp?,Centre-Forward,24,France,Paris Saint-Gerain,180
3,Vinicius Junior,Left Winger,23,Brazil,Real adrid,150
4,Jude Bellingha,Central idfield,20,England,Real adrid,120
5,Bukayo Saka,Right Winger,22,England,Arsenal FC,120
6,Victor Osihen,Centre-Forward,24,Nigeria,SSC Napoli,120
7,Jaal usiala,Attacking idfield,20,Gerany,Bayern unich,110
8,Phil Foden,Left Winger,23,England,anchester City,110
9,Pedri,Central idfield,20,Spain,FC Barcelona,100
10,Rodrygo,Right Winger,22,Brazil,Real adrid,100
11,Federico Valverde,Central idfield,25,Uruguay,Real adrid,100
12,Gavi,Central idfield,19,Spain,FC Barcelona,90
13,Declan Rice,Defensive idfield,24,England,Arsenal FC,90
14,Rodri,Defensive idfield,27,Spain,anchester City,90
15,Rafael Le?o,Left Winger,24,Portugal,AC ilan,90
16,artin Ødegaard,Attacking idfield,24,Norway,Arsenal FC,90
17,Harry Kane,Centre-Forward,30,England,Bayern unich,90
18,Eduardo Caavinga,Central idfield,20,France,Real adrid,85
19,Florian Wirtz,Attacking idfield,20,Gerany,Bayer 04 Leverkusen,85
20,Khvicha Kvaratskhelia,Left Winger,22,Georgia,SSC Napoli,85
21,Aur?lien Tchoua?ni,Defensive idfield,23,France,Real adrid,85
22,Lautaro art?nez,Centre-Forward,26,Argentina,Inter ilan,85
23,Gabriel artinelli,Left Winger,22,Brazil,Arsenal FC,80
24,Enzo Fern?ndez,Defensive idfield,22,Argentina,Chelsea FC,80
25,Randal Kolo uani,Centre-Forward,24,France,Paris Saint-Gerain,80
26,Christopher Nkunku,Second Striker,25,France,Chelsea FC,80
27,arcus Rashford,Left Winger,25,England,anchester United,80
28,R?ben Dias,Centre-Back,26,Portugal,anchester City,80
29,Bernardo Silva,Attacking idfield,29,Portugal,anchester City,80
30,ois?s Caicedo,Defensive idfield,21,Ecuador,Chelsea FC,75
31,Luis D?az,Left Winger,26,Colobia,Liverpool FC,75
32,Josko Gvardiol,Centre-Back,21,Croatia,anchester City,75
33,Gabriel Jesus,Centre-Forward,26,Brazil,Arsenal FC,75
34,Frenkie de Jong,Central idfield,26,Netherlands,FC Barcelona,75
35,atthijs de Ligt,Centre-Back,24,Netherlands,Bayern unich,75
36,Nicol? Barella,Central idfield,26,Italy,Inter ilan,75
37,Bruno Fernandes,Attacking idfield,29,Portugal,anchester United,75
38,Jack Grealish,Left Winger,28,England,anchester City,75
39,Joshua Kiich,Defensive idfield,28,Gerany,Bayern unich,75
40,Bruno Guiar?es,Defensive idfield,25,Brazil,Newcastle United,70
41,Ronald Ara?jo,Centre-Back,24,Uruguay,FC Barcelona,70
42,Alphonso Davies,Left-Back,22,Canada,Bayern unich,70
43,?der ilit?o,Centre-Back,25,Brazil,Real adrid,70
44,Dusan Vlahovic,Centre-Forward,23,Serbia,Juventus FC,70
45,Alexander Isak,Centre-Forward,23,Sweden,Newcastle United,70
46,Kevin De Bruyne,Attacking idfield,32,Belgiu,anchester City,70
47,Nuno endes,Left-Back,21,Portugal,Paris Saint-Gerain,65
48,Darwin N??ez,Centre-Forward,24,Uruguay,Liverpool FC,65
49,Alexis ac Allister,Central idfield,24,Argentina,Liverpool FC,65
50,Willia Saliba,Centre-Back,22,France,Arsenal FC,65
51,Reece Jaes,Right-Back,23,England,Chelsea FC,65
52,Achraf Hakii,Right-Back,24,orocco,Paris Saint-Gerain,65
53,Trent Alexander-Arnold,Right-Back,24,England,Liverpool FC,65
54,Kingsley Coan,Left Winger,27,France,Bayern unich,65
55,Leroy San?,Right Winger,27,Gerany,Bayern unich,65
56,arquinhos,Centre-Back,29,Brazil,Paris Saint-Gerain,65
57,ohaed Salah,Right Winger,31,Egypt,Liverpool FC,65
58,Antony,Right Winger,23,Brazil,anchester United,60
59,Juli?n ?lvarez,Centre-Forward,23,Argentina,anchester City,60
60,Jonathan David,Centre-Forward,23,Canada,LOSC Lille,60
61,in-jae Ki,Centre-Back,26,"Korea, South",Bayern unich,60
62,Jules Kound?,Centre-Back,24,France,FC Barcelona,60
63,Raphinha,Right Winger,26,Brazil,FC Barcelona,60
64,Cristian Roero,Centre-Back,25,Argentina,Tottenha Hotspur,60
65,ason ount,Attacking idfield,24,England,anchester United,60
66,Dayot Upaecano,Centre-Back,24,France,Bayern unich,60
67,Theo Hern?ndez,Left-Back,25,France,AC ilan,60
68,Alessandro Bastoni,Centre-Back,24,Italy,Inter ilan,60
69,Jaes addison,Attacking idfield,26,England,Tottenha Hotspur,60
70,Ousane Deb?l?,Right Winger,26,France,Paris Saint-Gerain,60
71,Neyar,Left Winger,31,Brazil,Al-Hilal SFC,60
72,Wesley Fofana,Centre-Back,22,France,Chelsea FC,55
73,Gabriel agalh?es,Centre-Back,25,Brazil,Arsenal FC,55
74,Cody Gakpo,Left Winger,24,Netherlands,Liverpool FC,55
75,Ben White,Right-Back,25,England,Arsenal FC,55
76,Kai Havertz,Attacking idfield,24,Gerany,Arsenal FC,55
77,Serge Gnabry,Right Winger,28,Gerany,Bayern unich,55
78,Rahee Sterling,Left Winger,28,England,Chelsea FC,55
79,Alejandro Balde,Left-Back,19,Spain,FC Barcelona,50
80,Gon?alo Raos,Centre-Forward,22,Portugal,Paris Saint-Gerain,50
81,ykhaylo udryk,Left Winger,22,Ukraine,Chelsea FC,50
82,Lisandro art?nez,Centre-Back,25,Argentina,anchester United,50
83,anuel Ugarte,Defensive idfield,22,Uruguay,Paris Saint-Gerain,50
84,Jo?o F?lix,Second Striker,23,Portugal,FC Barcelona,50
85,Doinik Szoboszlai,Attacking idfield,22,Hungary,Liverpool FC,50
86,Dejan Kulusevski,Right Winger,23,Sweden,Tottenha Hotspur,50
87,Sandro Tonali,Defensive idfield,23,Italy,Newcastle United,50
88,oussa Diaby,Right Winger,24,France,Aston Villa,50
89,Diogo Jota,Left Winger,26,Portugal,Liverpool FC,50
90,ikel erino,Central idfield,27,Spain,Real Sociedad,50
91,Sergej ilinkovic-Savic,Central idfield,28,Serbia,Al-Hilal SFC,50
92,ilan Skriniar,Centre-Back,28,Slovakia,Paris Saint-Gerain,50
93,Jo?o Cancelo,Right-Back,29,Portugal,FC Barcelona,50
94,Heung-in Son,Left Winger,31,"Korea, South",Tottenha Hotspur,50
95,Richarlison,Centre-Forward,26,Brazil,Tottenha Hotspur,48
96,Ant?nio Silva,Centre-Back,19,Portugal,SL Benfica,45
97,Rasus Højlund,Centre-Forward,20,Denark,anchester United,45
98,atheus Nunes,Central idfield,25,Portugal,anchester City,45
99,Aadou Onana,Defensive idfield,22,Belgiu,Everton FC,45
100,Lucas Paquet?,Attacking idfield,26,Brazil,West Ha United,45
101,Jadon Sancho,Left Winger,23,England,anchester United,45
102,Pau Torres,Centre-Back,26,Spain,Aston Villa,45
103,Sven Botan,Centre-Back,23,Netherlands,Newcastle United,45
104,Diogo Costa,Goalkeeper,23,Portugal,FC Porto,45
105,Gianluigi Donnarua,Goalkeeper,24,Italy,Paris Saint-Gerain,45
106,Lucas Hern?ndez,Centre-Back,27,France,Paris Saint-Gerain,45
107,ike aignan,Goalkeeper,28,France,AC ilan,45
108,Pierre-Eile Højbjerg,Central idfield,28,Denark,Tottenha Hotspur,45
109,Leon Goretzka,Central idfield,28,Gerany,Bayern unich,45
110,Thibaut Courtois,Goalkeeper,31,Belgiu,Real adrid,45
111,Jacob Rasey,Central idfield,22,England,Aston Villa,42
112,Vitinha,Central idfield,23,Portugal,Paris Saint-Gerain,42
113,Jurrien Tiber,Centre-Back,22,Netherlands,Arsenal FC,42
114,Joelinton,Central idfield,27,Brazil,Newcastle United,42
115,Fabinho,Defensive idfield,29,Brazil,Al-Ittihad Club,42
116,Oleksandr Zinchenko,Left-Back,26,Ukraine,Arsenal FC,42
117,Luke Shaw,Left-Back,28,England,anchester United,42
118,Nathan Ak?,Centre-Back,28,Netherlands,anchester City,42
